"exper","male","school","wage"
7,0,11,4.77707004547119
7,0,9,4.87456130981445
8,0,11,3.73591375350952
7,0,10,5.81822633743286
8,0,10,4.01941108703613
8,0,11,5.68164825439453
8,0,11,7.6555609703064
7,0,11,7.34933853149414
8,0,12,4.6834020614624
6,0,7,5.7903881072998
6,0,9,2.04897236824036
7,0,11,2.3221869468689
4,0,11,9.92637920379639
5,0,11,4.97611474990845
6,0,10,3.79697561264038
6,0,11,4.81442928314209
4,0,11,2.27070069313049
3,0,10,5.57324838638306
10,0,10,7.37202167510986
9,0,11,6.47299480438232
8,0,9,1.58246624469757
5,0,9,3.24497723579407
10,0,5,0.6031653881073
6,0,8,1.97983956336975
5,0,10,7.34933853149414
4,0,10,4.96284484863281
8,0,10,3.22188901901245
4,0,11,5.10755920410156
5,0,10,4.68555545806885
9,0,6,2.21160650253296
5,0,9,2.27479529380798
3,0,11,2.6444833278656
9,0,10,7.41380643844604
8,0,10,7.26338148117065
7,0,10,7.58867359161377
9,0,10,7.46947717666626
9,0,7,2.65896368026733
6,0,9,5.72594022750854
9,0,8,2.7560019493103
6,0,9,4.33663082122803
9,0,15,8.98252487182617
9,0,15,7.70256280899048
7,0,13,3.63967251777649
8,0,12,2.67104983329773
6,0,14,5.61407804489136
11,0,12,5.11133098602295
8,0,12,5.3973274230957
9,0,12,2.36530447006226
9,0,15,7.01949262619019
10,0,12,4.52676630020142
10,0,13,9.6241340637207
12,0,12,7.09146690368652
12,0,12,4.54959058761597
11,0,13,5.52016973495483
8,0,14,2.522545337677
7,0,15,10.5570611953735
7,0,15,7.69930696487427
11,0,12,6.02684783935547
6,0,16,5.0417628288269
9,0,15,5.01036500930786
12,0,9,3.98089170455933
8,0,12,3.77847361564636
10,0,12,4.49126243591309
8,0,10,0.229666829109192
11,0,12,6.17038202285767
11,0,13,12.2488975524902
12,0,12,3.98089170455933
14,0,7,0.444792360067368
8,0,13,4.43174934387207
10,0,12,3.06222438812256
11,0,12,2.50779938697815
10,0,12,3.10703754425049
10,0,13,6.63481950759888
9,0,12,6.02513360977173
10,0,12,5.69696235656738
11,0,12,12.3120365142822
7,0,15,3.89012217521667
10,0,12,2.7560019493103
12,0,12,5.1751594543457
12,0,10,2.70529413223267
8,0,16,4.18451309204102
11,0,13,3.93521523475647
11,0,12,4.38263320922852
10,0,13,10.8990879058838
10,0,12,7.39619207382202
9,0,15,6.43067121505737
7,0,10,14.0916519165039
8,0,15,6.82438564300537
8,0,14,3.60533595085144
12,0,12,5.69279718399048
9,0,12,2.41150164604187
13,0,11,5.35889291763306
11,0,12,0.425811260938644
11,0,12,3.06222438812256
11,0,12,2.45669317245483
10,0,12,6.73689365386963
8,0,15,12.6697454452515
3,0,15,2.4126615524292
8,0,12,2.57350564002991
10,0,14,9.83442115783691
6,0,14,0.614414155483246
11,0,12,6.61602401733398
10,0,14,15.1273889541626
10,0,12,9.39270305633545
12,0,12,4.96080350875854
12,0,12,4.89328575134277
10,0,12,2.21160650253296
12,0,12,3.36844682693481
11,0,12,5.52718830108643
12,0,12,7.54562711715698
8,0,12,5.13287115097046
7,0,16,9.3668041229248
6,0,16,5.9323091506958
12,0,12,3.79455208778381
10,0,13,3.89964914321899
10,0,12,8.57422828674316
11,0,13,6.27756023406982
10,0,14,3.67466926574707
11,0,12,1.19613647460938
5,0,12,3.06222438812256
8,0,14,5.71249055862427
12,0,12,6.79240846633911
11,0,13,3.11615800857544
10,0,12,7.5636944770813
10,0,12,3.84965348243713
12,0,12,5.37252473831177
11,0,13,3.0547251701355
11,0,13,9.59033012390137
8,0,15,12.3959856033325
9,0,13,5.92504835128784
12,0,12,4.94850015640259
11,0,12,3.91964721679688
10,0,13,3.06222438812256
3,0,15,3.2685215473175
8,0,12,11.1541891098022
11,0,12,2.98566889762878
10,0,12,6.10301303863525
7,0,12,4.14496326446533
10,0,10,6.36942672729492
6,0,13,2.98906540870667
9,0,15,6.27292013168335
6,0,16,5.36749458312988
10,0,12,4.37117528915405
10,0,12,4.40960311889648
12,0,11,4.06935596466064
10,0,11,3.96026539802551
7,0,16,6.73689365386963
7,0,14,0.962149083614349
8,0,12,6.53274536132812
10,0,14,5.50281715393066
9,0,10,2.75137233734131
16,0,8,2.86402344703674
8,0,15,6.55504560470581
9,0,15,4.77707004547119
9,0,15,4.96318960189819
9,0,15,6.12444877624512
8,0,15,6.70822620391846
8,0,15,6.09382677078247
5,0,14,8.91719722747803
7,0,15,5.25887584686279
8,0,15,3.02199077606201
12,0,10,3.82165598869324
13,0,10,5.51200389862061
8,0,15,5.51200389862061
10,0,12,3.10703754425049
7,0,12,8.08302879333496
9,0,9,21.2314224243164
9,0,14,5.81822633743286
7,0,14,4.93071460723877
9,0,15,4.41363477706909
8,0,15,7.417320728302
10,0,12,3.67466926574707
8,0,15,5.81822633743286
11,0,12,3.22355127334595
13,0,9,1.62117767333984
6,0,12,1.01585757732391
12,0,9,6.37963438034058
12,0,12,3.58504319190979
11,0,11,2.7560019493103
10,0,14,0.772988677024841
9,0,12,2.13739156723022
11,0,11,3.55218029022217
11,0,12,4.3051586151123
10,0,10,3.57467818260193
6,0,16,10.1280641555786
8,0,15,4.44460010528564
12,0,12,4.74644804000854
10,0,14,5.9158763885498
10,0,14,5.31062173843384
9,0,15,8.69844913482666
9,0,15,15.3111219406128
11,0,12,2.81004118919373
8,0,15,8.02232933044434
7,0,15,7.87232542037964
7,0,15,12.9488344192505
9,0,15,3.5276825428009
9,0,14,7.17008638381958
9,0,15,8.35987281799316
9,0,15,7.1113429069519
8,0,15,11.184760093689
9,0,15,8.57422828674316
7,0,14,2.99737739562988
8,0,14,9.3178653717041
11,0,10,6.24453592300415
7,0,13,2.12314224243164
3,0,14,2.39452123641968
9,0,15,7.14328241348267
8,0,15,5.90282249450684
7,0,15,7.73614597320557
11,0,13,3.65126371383667
6,0,12,2.66503214836121
9,0,12,32.4973983764648
12,0,12,8.42111682891846
7,0,13,6.08842277526855
10,0,14,1.55960500240326
12,0,12,6.03258228302002
12,0,12,5.87947082519531
7,0,16,8.72733974456787
7,0,12,2.7560019493103
9,0,14,11.7777862548828
11,0,12,7.66296052932739
9,0,15,6.87701606750488
9,0,14,7.04311609268188
8,0,12,5.85425233840942
11,0,12,0.911219835281372
11,0,12,1.63318634033203
8,0,15,9.01655006408691
8,0,12,2.7014274597168
9,0,12,7.92681217193604
10,0,12,5.81822633743286
9,0,14,8.27198314666748
13,0,9,6.76912784576416
9,0,12,8.29352474212646
13,0,9,7.20523405075073
10,0,12,6.42458724975586
11,0,12,7.28312826156616
8,0,14,5.06850957870483
9,0,12,8.36981201171875
10,0,12,7.23250579833984
10,0,12,5.17532777786255
5,0,12,4.10824728012085
9,0,13,4.28711414337158
7,0,14,8.71605777740479
6,0,14,6.73689365386963
8,0,12,4.17393636703491
13,0,10,3.44500255584717
10,0,13,9.18667316436768
10,0,12,7.51912546157837
10,0,12,3.01154923439026
11,0,12,4.14496326446533
9,0,13,16.0035839080811
10,0,8,3.09445834159851
9,0,14,11.0240077972412
7,0,11,1.81155478954315
8,0,14,7.6555609703064
11,0,12,6.43067121505737
9,0,12,4.07275867462158
7,0,12,1.90350687503815
11,0,12,6.05040550231934
8,0,12,2.62656784057617
10,0,12,3.79132533073425
11,0,12,5.09240770339966
7,0,13,7.30657434463501
3,0,15,4.48551177978516
8,0,14,12.2838945388794
4,0,12,2.98566889762878
9,0,14,15.3111219406128
7,0,12,1.21565055847168
8,0,12,4.39675092697144
9,0,13,3.55218029022217
9,0,13,6.18639707565308
7,0,12,2.56241297721863
9,0,10,2.59715485572815
9,0,10,4.64437389373779
6,0,12,2.57871532440186
8,0,13,4.20622539520264
11,0,11,4.59333658218384
6,0,12,1.59235668182373
10,0,12,2.74081969261169
7,0,13,4.44022560119629
9,0,12,1.69399642944336
8,0,14,6.36942672729492
5,0,12,1.92009747028351
9,0,14,7.26243782043457
5,0,12,3.67466926574707
10,0,12,3.67466926574707
9,0,13,3.82165598869324
9,0,14,7.6555609703064
8,0,14,9.67085742950439
11,0,12,6.72098588943481
8,0,14,7.10095977783203
9,0,14,10.7956390380859
9,0,14,9.27416515350342
8,0,12,4.07833433151245
10,0,12,5.81822633743286
7,0,14,7.13498306274414
10,0,12,3.89964914321899
8,0,14,8.84642601013184
11,0,12,4.28711414337158
9,0,14,20.9981098175049
9,0,14,6.63029050827026
3,0,15,3.98089170455933
6,0,12,2.69510293006897
8,0,14,7.6555609703064
10,0,12,6.84884595870972
11,0,12,5.57324838638306
9,0,12,0.668706238269806
11,0,12,5.25313568115234
8,0,14,8.08205223083496
9,0,12,3.34580779075623
10,0,12,10.1481027603149
10,0,12,7.34933853149414
12,0,7,3.06222438812256
11,0,12,2.92922019958496
8,0,12,4.15884208679199
11,0,12,7.12995529174805
7,0,14,5.3895149230957
7,0,12,1.0919017791748
9,0,14,4.59333658218384
10,0,12,5.0526704788208
14,0,7,3.14508962631226
10,0,9,4.63914918899536
7,0,14,6.12444877624512
8,0,13,30.8621711730957
7,0,14,9.18667316436768
7,0,15,10.3131914138794
8,0,13,6.73689365386963
7,0,13,7.6963906288147
6,0,14,16.9718265533447
8,0,13,6.82438564300537
8,0,12,4.50666999816895
7,0,15,4.18784952163696
11,0,12,3.17564010620117
11,0,12,5.20578145980835
11,0,12,2.19635415077209
9,0,13,4.38235759735107
8,0,14,4.59333658218384
11,0,12,4.59333658218384
12,0,10,6.43067121505737
6,0,12,3.91563129425049
12,0,9,3.06222438812256
6,0,14,5.83624219894409
9,0,10,7.34933853149414
7,0,14,8.75796222686768
9,0,14,10.7956390380859
13,0,10,5.7903881072998
15,0,8,2.3885350227356
6,0,15,2.91256999969482
8,0,14,7.11306524276733
4,0,12,2.11308002471924
10,0,12,7.47512197494507
6,0,13,1.19054710865021
8,0,14,7.41269493103027
7,0,14,2.54777073860168
8,0,14,10.4640579223633
8,0,15,7.43099784851074
7,0,12,3.37602114677429
7,0,15,6.12444877624512
8,0,9,3.28423571586609
9,0,13,6.73689365386963
10,0,12,4.71207571029663
7,0,9,8.07483100891113
10,0,10,4.35268354415894
10,0,12,15.3111219406128
6,0,14,2.32460832595825
8,0,14,7.19622755050659
6,0,14,9.73787403106689
8,0,14,3.18471336364746
8,0,14,9.27586460113525
8,0,14,6.16215419769287
12,0,10,5.78086709976196
9,0,13,7.96178340911865
11,0,11,4.64360857009888
7,0,14,2.76397490501404
8,0,9,2.88109064102173
8,0,13,2.71733212471008
7,0,10,1.83662819862366
11,0,12,2.7560019493103
10,0,12,4.55934572219849
7,0,12,3.03509593009949
8,0,12,3.98089170455933
6,0,15,6.12444877624512
7,0,14,12.8613424301147
11,0,12,7.83929443359375
8,0,11,2.80344486236572
7,0,14,13.998740196228
8,0,14,2.91932058334351
6,0,15,10.4115629196167
8,0,14,5.52901649475098
9,0,13,4.40960311889648
10,0,12,4.89955902099609
7,0,15,5.67123937606812
7,0,11,4.13400316238403
8,0,14,7.25171947479248
9,0,14,8.95700645446777
7,0,14,11.6364526748657
8,0,13,3.27645397186279
6,0,14,3.6307806968689
5,0,11,2.97116112709045
6,0,13,5.56409692764282
8,0,15,6.13517475128174
8,0,14,7.25171947479248
7,0,15,14.6490955352783
7,0,14,10.3110008239746
9,0,14,5.51200389862061
4,0,12,1.13620412349701
4,0,12,5.42848873138428
9,0,12,13.1781244277954
9,0,14,8.78945732116699
10,0,12,6.02513360977173
7,0,14,2.88470411300659
9,0,14,4.94872903823853
11,0,12,5.72635984420776
8,0,15,4.89955902099609
10,0,12,3.98089170455933
7,0,14,7.83929443359375
8,0,14,8.2796630859375
9,0,12,6.49941492080688
5,0,12,1.72498941421509
8,0,13,4.89955902099609
6,0,14,12.1322412490845
11,0,12,3.12226796150208
13,0,9,5.39781951904297
6,0,13,8.57422828674316
7,0,13,6.43067121505737
6,0,13,7.00636959075928
6,0,13,5.43466424942017
6,0,13,8.96231842041016
8,0,13,10.9789371490479
8,0,13,8.81920623779297
8,0,13,3.23869156837463
10,0,12,5.6051869392395
9,0,13,7.1812162399292
8,0,13,6.15560054779053
8,0,12,6.73689365386963
6,0,13,7.87390518188477
9,0,12,5.5455207824707
5,0,13,7.96178340911865
10,0,12,2.38734126091003
7,0,12,3.06222438812256
6,0,13,1.06869578361511
8,0,13,4.15216875076294
6,0,12,4.03128290176392
10,0,12,5.6533374786377
4,0,12,16.47265625
8,0,10,1.59235668182373
10,0,12,4.2819676399231
3,0,13,9.47831344604492
6,0,12,1.74028050899506
9,0,13,3.36844682693481
9,0,13,5.42686605453491
7,0,13,5.20578145980835
9,0,12,3.53366255760193
7,0,13,9.18667316436768
6,0,11,1.85878217220306
9,0,12,1.30540800094604
11,0,11,3.81763744354248
8,0,13,4.40960311889648
7,0,11,0.2123142182827
7,0,15,8.71198177337646
7,0,12,4.0873327255249
6,0,13,5.66003561019897
9,0,12,8.57422828674316
8,0,12,2.6580810546875
8,0,12,2.44172978401184
9,0,12,7.29565811157227
6,0,14,7.96178340911865
8,0,12,1.59235668182373
8,0,13,7.19622755050659
9,0,12,5.1681752204895
7,0,14,8.31517887115479
6,0,12,3.05042910575867
10,0,12,1.39654552936554
9,0,12,2.82210564613342
6,0,12,3.25877642631531
9,0,12,5.51200389862061
8,0,12,4.74268579483032
9,0,12,5.7903881072998
4,0,14,9.85987281799316
8,0,12,3.67466926574707
6,0,12,2.85766911506653
8,0,12,3.94391751289368
3,0,12,2.14820456504822
10,0,10,3.98089170455933
8,0,13,8.57422828674316
6,0,13,5.80789041519165
7,0,13,4.32407188415527
2,0,13,6.73419570922852
5,0,9,1.19277656078339
10,0,12,4.13400316238403
8,0,12,4.59333658218384
11,0,10,12.1768455505371
7,0,13,7.43580150604248
8,0,13,6.83310127258301
10,0,12,8.91719722747803
9,0,12,8.28393650054932
7,0,13,7.35190916061401
7,0,12,0.682438552379608
7,0,12,3.70315504074097
6,0,12,5.85051202774048
8,0,12,7.15130233764648
8,0,13,7.16158580780029
6,0,13,1.18537724018097
8,0,12,5.24066734313965
7,0,13,3.78093814849854
8,0,13,3.52659749984741
6,0,13,7.6555609703064
6,0,13,4.80851030349731
8,0,13,5.33912086486816
7,0,13,3.74366307258606
9,0,12,4.47084760665894
10,0,12,5.72222375869751
5,0,12,1.72925615310669
7,0,12,1.33391141891479
9,0,12,3.34632563591003
8,0,12,4.98063659667969
9,0,13,5.66511535644531
6,0,10,4.40960311889648
6,0,12,0.675706923007965
10,0,12,8.93033027648926
9,0,12,3.11548042297363
10,0,12,6.08682441711426
9,0,12,3.06222438812256
8,0,12,6.038733959198
7,0,14,6.52253818511963
9,0,13,5.20578145980835
8,0,12,2.33312344551086
